id,vector,name,price,description,clean_text
39363435,https://www.meesho.com/s/p/27e0j8?utm_source=s,Unique Trendy Men Formal Shoes,444,Unique Trendy Men Formal Shoes ,trendi uniqu men formal shoe
68664892,https://www.meesho.com/s/p/3s52m1?utm_source=s,Colorful Men Loafers,399,Colorful Men Loafers ,color men loafer
22893194,https://www.meesho.com/s/p/1ccm46?utm_source=s,Latest Fashionable Men Formal Shoes,482,Latest Fashionable Men Formal Shoes ,latest fashion men formal shoe
52226167,https://www.meesho.com/s/p/2u94yt?utm_source=s,Modern Men  Formal Shoe,534,Modern Men  Formal Shoe ,shoe men modern formal
56710471,https://www.meesho.com/s/p/33285t?utm_source=s,Relaxed Trendy Men Formal Shoes,460,Relaxed Trendy Men Formal Shoes ,trendi shoe men formal relax
38256022,https://www.meesho.com/s/p/25f96p?utm_source=s,Aadab Fashionable Men Formal Shoes,448,Aadab Fashionable Men Formal Shoes ,fashion aadab men formal shoe
82579723,https://www.meesho.com/s/p/4o08pu?utm_source=s,Unique Attractive Men Formal Shoes,1144,Unique Attractive Men Formal Shoes ,attract uniqu men formal shoe
4878873,https://www.meesho.com/s/p/dixl2?utm_source=s,Modern Trendy Men Formal Shoes,432,Modern Trendy Men Formal Shoes ,trendi modern men formal shoe
71175866,https://www.meesho.com/s/p/3ximbi?utm_source=s,Latest Fabulous Men Formal Shoes,444,Latest Fabulous Men Formal Shoes ,latest fabul men formal shoe
81649498,https://www.meesho.com/s/p/4lt701?utm_source=s,Latest Trendy Men Formal Shoes,1453,Latest Trendy Men Formal Shoes ,trendi latest men formal shoe
30306403,https://www.meesho.com/s/p/1qhe4u?utm_source=s,Aadab Graceful Men Formal Shoes,653,Aadab Graceful Men Formal Shoes ,grace aadab men formal shoe
29730043,https://www.meesho.com/s/p/1pdctb?utm_source=s,Relaxed Graceful Men Formal Shoes,651,Relaxed Graceful Men Formal Shoes ,shoe grace men formal relax
33175870,https://www.meesho.com/s/p/1vwrcz?utm_source=s,Unique Fashionable Men Formal Shoes,527,Unique Fashionable Men Formal Shoes ,uniqu fashion men formal shoe
